feature_index,variable,label,source,itemid,value_source,clinical_category,summary_mode,hourly_coverage,valid_n,valid_fraction,positive_n,negative_n,variance,mean_positive,mean_negative,abs_mean_difference,point_biserial_corr,abs_point_biserial_corr,auroc,auroc_abs,auprc,ap_lift_over_prevalence,mutual_information,possible_leakage_flag,static_like_flag,physiology_direction_hint,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,standardized_variance_diagonal,mrmr_rank,mrmr_score,mean_abs_corr_with_previous_selected,lambda_redundancy,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,elasticnet_successful_bootstraps,elasticnet_n_requested_bootstraps,rfecv_selected,rfecv_rank,mrmr_rank_score,component_relevance,component_stability,component_mrmr,component_coverage,component_rfecv,penalty_leakage,penalty_static,penalty_sparse,penalty_low_relevance,consensus_score,recommendation,recommendation_order
0,chartevents::220045::Heart Rate::valuenum,Heart Rate,chartevents,220045,valuenum,vital_heart_rate,observed_fraction,0.6215710639953613,8020,1.0,1122,6898,0.14815472066402435,0.47218504548072815,0.6458695530891418,0.1736845076084137,-0.15652616637959632,0.15652616637959632,0.3798603563305182,0.6201396436694818,0.11614675420228315,0.8302112020519705,0.023388759126659275,False,False,higher_may_indicate_physiologic_stress,0.581119967127723,1,5,1.0001247169415124,17.0,0.5371235542747871,0.08799282570587172,0.5,1.0,0.5954929394647479,80.0,80.0,False,,0.9139784946236559,0.581119967127723,1.0,0.9139784946236559,1.0,0.0,0.0,0.0,0.0,0.0,0.7571316890630481,core,1
230,chartevents::225638::Differential-Bands::valuenum,Differential-Bands,chartevents,225638,valuenum,chart_other,min,0.0028158770874142647,483,0.06022443890274314,94,389,48.52326583862305,7.361701965332031,3.4601542949676514,3.90154767036438,0.22174484373275957,0.22174484373275957,0.6534622326751627,0.6534622326751627,0.33027670233617284,2.3608013839002733,0.05925996215560092,False,False,,0.7283415557761748,150,1,1.0001247484405196,1.0,0.7283415557761748,0.0,0.5,1.0,0.10582668683491647,80.0,80.0,False,,1.0,0.7283415557761748,1.0,1.0,0.06022443890274314,0.0,0.0,0.0,0.0,0.0,0.7245249106231266,core,1
11,chartevents::220179::Non Invasive Blood Pressure systolic::valuenum,Non Invasive Blood Pressure systolic,chartevents,220179,valuenum,vital_blood_pressure,observed_fraction,0.5168640613555908,8020,1.0,1122,6898,0.15171410143375397,0.3732546269893646,0.5402230024337769,0.16696837544441223,-0.14869796238156122,0.14869796238156122,0.3744440249544031,0.6255559750455969,0.11389636552836883,0.8141255361296953,0.016434657257576868,False,False,low_or_high_may_indicate_instability,0.5534649994636343,6,3,1.0001246654418612,26.0,0.4753738552624698,0.15618228840232892,0.5,0.925,0.052993824626901186,80.0,80.0,False,,0.8655913978494624,0.5534649994636343,0.925,0.8655913978494624,1.0,0.0,0.0,0.0,0.0,0.0,0.7166577794089828,core,1
282,labevents::50816::Oxygen::valuenum,Oxygen,labevents,50816,valuenum,lab_blood_gas_respiration,last,0.0018131753895431757,291,0.03628428927680798,77,214,856.6914672851562,71.87013244628906,58.18691635131836,13.683216094970703,0.2062220751409148,0.2062220751409148,0.6311142128899139,0.6311142128899139,0.3329947907131266,2.3802301439565734,0.07292647814972253,False,False,,0.7086854866255362,193,1,1.0001247138331604,3.0,0.6940013534347884,0.02936826638149548,0.5,1.0,0.06605040668509901,80.0,80.0,False,,0.989247311827957,0.7086854866255362,1.0,0.989247311827957,0.03628428927680798,0.0,0.0,0.0,0.0,0.0,0.7140835372809331,core,1
165,labevents::50817::Oxygen Saturation::valuenum,Oxygen Saturation,labevents,50817,valuenum,lab_blood_gas_respiration,min,0.013424771837890148,1182,0.14738154613466334,198,984,426.1733093261719,80.99662780761719,70.32662200927734,10.670005798339844,0.19301197356672448,0.19301197356672448,0.6476015233637186,0.6476015233637186,0.2399911111922957,1.7154444846365522,0.03348908905188619,False,False,lower_may_indicate_worse_oxygenation,0.6309300863094415,91,1,1.0001246975546287,7.0,0.6207682111513342,0.02032375031621459,0.5,1.0,0.12168125919997692,80.0,80.0,False,,0.967741935483871,0.6309300863094415,1.0,0.967741935483871,0.14738154613466334,0.0,0.0,0.0,0.0,0.0,0.697565567603073,core,1
12,chartevents::220180::Non Invasive Blood Pressure diastolic::valuenum,Non Invasive Blood Pressure diastolic,chartevents,220180,valuenum,vital_blood_pressure,observed_fraction,0.5167913436889648,8020,1.0,1122,6898,0.1516684740781784,0.3732546269893646,0.5401384234428406,0.16688379645347595,-0.14864499520779037,0.14864499520779037,0.3744515835275305,0.6255484164724695,0.11388260438308552,0.814027172150041,0.0161431571166768,False,False,low_or_high_may_indicate_instability,0.552510046216914,6,3,1.000124701355621,29.0,0.46295440535361054,0.179111281726607,0.5,0.85,0.03746912649546295,80.0,80.0,False,,0.8494623655913979,0.552510046216914,0.85,0.8494623655913979,1.0,0.0,0.0,0.0,0.0,0.0,0.6906454869833538,core,1
69,chartevents::223834::O2 Flow::valuenum,O2 Flow,chartevents,223834,valuenum,chart_other,last,0.11723295599222183,5548,0.6917705735660847,698,4850,54.071815490722656,7.836198329925537,5.627319812774658,2.208878517150879,0.09962047500139144,0.09962047500139144,0.6319408915014918,0.6319408915014918,0.1824724704936082,1.3043041117279304,0.00702148575525241,False,False,,0.4790118308859593,27,1,1.0001247158166402,28.0,0.4617879876971957,0.03444768637752714,0.5,1.0,0.27135186046361925,80.0,80.0,False,,0.8548387096774194,0.4790118308859593,1.0,0.8548387096774194,0.6917705735660847,0.0,0.0,0.0,0.0,0.0,0.6838483485578801,core,1
307,chartevents::226536::Chloride (whole blood)::valuenum,Chloride (whole blood),chartevents,226536,valuenum,chart_other,mean,0.001724854577332735,240,0.029925187032418952,72,168,62.712440490722656,105.95254516601562,103.04612731933594,2.9064178466796875,0.1681862386438487,0.1681862386438487,0.624917328042328,0.624917328042328,0.3926998996887868,2.806999282980455,0.06456413326515476,False,False,,0.698800640934286,216,1,1.0001246868582006,4.0,0.6885635937523171,0.0204740943639377,0.5,0.875,0.023464464549033438,80.0,80.0,False,,0.9838709677419355,0.698800640934286,0.875,0.9838709677419355,0.029925187032418952,0.0,0.0,0.0,0.0,0.0,0.6719069045319148,core,1
350,"labevents::50884::Bilirubin, Indirect::valuenum","Bilirubin, Indirect",labevents,50884,valuenum,lab_liver_protein,min,0.0011118038091808558,195,0.024314214463840397,29,166,7.03924036026001,3.5620687007904053,1.8746988773345947,1.6873698234558105,0.2262902891916136,0.2262902891916136,0.5347943498130453,0.5347943498130453,0.3256968906533184,2.328065118573631,0.04308711840508184,False,False,,0.6046454868690493,256,1,1.0001247218947438,9.0,0.5987336137159008,0.011823746306296973,0.5,0.9875,0.04221381416427903,80.0,80.0,False,,0.956989247311828,0.6046454868690493,0.9875,0.956989247311828,0.024314214463840397,0.0,0.0,0.0,0.0,0.0,0.6714729169694644,core,1
100,chartevents::225668::Lactic Acid::valuenum,Lactic Acid,chartevents,225668,valuenum,chart_other,last,0.025519534945487976,2706,0.3374064837905237,464,2242,2.2430272102355957,2.4582974910736084,1.8561360836029053,0.6021614074707031,0.1515460808854554,0.1515460808854554,0.5829347257682488,0.5829347257682488,0.25321970062169924,1.810001781627476,0.010291875172550702,False,False,,0.49674967236590045,37,2,1.0001247000146452,24.0,0.4758936715071347,0.04171200171753149,0.5,0.9875,0.08214812722289935,80.0,80.0,False,,0.8763440860215054,0.49674967236590045,0.9875,0.8763440860215054,0.3374064837905237,0.0,0.0,0.0,0.0,0.0,0.6542843672931236,core,1
96,"labevents::50885::Bilirubin, Total::valuenum","Bilirubin, Total",labevents,50885,valuenum,lab_liver_protein,max,0.018344763666391373,2822,0.3518703241895262,422,2400,31.977144241333008,4.608767509460449,2.256458282470703,2.352309226989746,0.1483472296559921,0.1483472296559921,0.5824096563981043,0.5824096563981043,0.22849635336227256,1.63328052938095,0.016053533168423284,False,False,,0.4891608685608332,44,2,1.000124688058837,27.0,0.46948371258892574,0.03935431194381484,0.5,1.0,0.1896740784868598,80.0,80.0,False,,0.8602150537634409,0.4891608685608332,1.0,0.8602150537634409,0.3518703241895262,0.0,0.0,0.0,0.0,0.0,0.6539783037398906,core,1
223,"labevents::51214::Fibrinogen, Functional::valuenum","Fibrinogen, Functional",labevents,51214,valuenum,lab_coagulation,mean,0.0040939319878816605,547,0.06820448877805486,130,417,39693.86328125,277.5695495605469,341.9222412109375,64.35269165039062,-0.13748568243528267,0.13748568243528267,0.3827153661686036,0.6172846338313964,0.20417063950505693,1.4594015408471985,0.07604630351976138,False,False,,0.5482159860455076,144,2,1.0001246727572894,16.0,0.5374460809321496,0.021539810226716017,0.5,0.9875,0.07469493082171538,80.0,80.0,False,,0.9193548387096774,0.5482159860455076,0.9875,0.9193548387096774,0.06820448877805486,0.0,0.0,0.0,0.0,0.0,0.6514062124333933,core,1
238,"labevents::50806::Chloride, Whole Blood::valuenum","Chloride, Whole Blood",labevents,50806,valuenum,lab_electrolyte,min,0.0037302577402442694,455,0.05673316708229426,109,346,48.91470718383789,104.53211212158203,102.66907501220703,1.863037109375,0.11369494842099254,0.11369494842099254,0.5904040939704089,0.5904040939704089,0.33364530794701186,2.384880008676502,0.050900210844646576,False,False,,0.5725855358740833,156,1,1.000124707119618,15.0,0.5405634524470713,0.06404416685402411,0.5,0.925,0.0318269631221483,80.0,80.0,False,,0.9247311827956989,0.5725855358740833,0.925,0.9247311827956989,0.05673316708229426,0.0,0.0,0.0,0.0,0.0,0.6398952140295943,core,1
150,chartevents::220224::Arterial O2 pressure::valuenum,Arterial O2 pressure,chartevents,220224,valuenum,chart_other,slope,0.012105153873562813,239,0.029800498753117206,62,177,472.9256591796875,0.9331085681915283,-6.086362838745117,7.0194714069366455,0.14147917116503156,0.14147917116503156,0.6024694733005286,0.6024694733005286,0.36975383755351776,2.642981976095555,0.00878799052518242,False,False,,0.5205222159290971,80,1,1.0001247138021867,20.0,0.5106946410465756,0.01965514976504309,0.5,1.0,0.12949914487544448,80.0,80.0,False,,0.8978494623655914,0.5205222159290971,1.0,0.8978494623655914,0.029800498753117206,0.0,0.0,0.0,0.0,0.0,0.6387066071271591,core,1
285,labevents::50963::NTproBNP::valuenum,NTproBNP,labevents,50963,valuenum,lab_other,max,0.0014702826738357544,279,0.03478802992518703,38,241,138649440.0,14647.60546875,8712.00390625,5935.6015625,0.17290269755266624,0.17290269755266624,0.5668814151561476,0.5668814151561476,0.2393798135303472,1.7110749594593446,0.027270142650706042,False,False,,0.49898259763916886,195,1,1.000124700165627,22.0,0.4922014879213932,0.01356221943555133,0.5,1.0,0.03657796473416965,80.0,80.0,False,,0.8870967741935484,0.49898259763916886,1.0,0.8870967741935484,0.03478802992518703,0.0,0.0,0.0,0.0,0.0,0.6305929371229789,core,1
343,labevents::50952::Iron::valuenum,Iron,labevents,50952,valuenum,lab_other,mean,0.0010962177766487002,206,0.025685785536159602,23,183,3462.352783203125,86.26087188720703,53.07650375366211,33.18436813354492,0.17761110689648038,0.17761110689648038,0.6116654787360418,0.6116654787360418,0.2522653032523512,1.8031797968661825,0.03739508628364141,False,False,,0.5774613048628047,250,1,1.0001246779263517,13.0,0.5709509600604711,0.013020689604667275,0.5,0.8375,0.016667770106323587,80.0,80.0,False,,0.935483870967742,0.5774613048628047,0.8375,0.935483870967742,0.025685785536159602,0.0,0.0,0.0,0.0,0.0,0.6141537442060058,core,1
195,labevents::50811::Hemoglobin::valuenum,Hemoglobin,labevents,50811,valuenum,lab_cbc,slope,0.008790523745119572,253,0.03154613466334165,33,220,0.07181421667337418,-0.15593981742858887,-0.045770272612571716,0.11016954481601715,-0.13845356620320437,0.13845356620320437,0.36652892561983474,0.6334710743801653,0.15170915263708457,1.0844094511135636,0.031200911995724168,False,False,,0.4757591447162275,116,2,1.0001247217993032,30.0,0.4612523153384992,0.029013658755456587,0.5,0.875,0.08460595565848053,80.0,80.0,False,,0.8440860215053764,0.4757591447162275,0.875,0.8440860215053764,0.03154613466334165,0.0,0.0,0.0,0.0,0.0,0.5771995611822777,core,1
368,chartevents::220624::HDL::valuenum,HDL,chartevents,220624,valuenum,chart_other,last,0.0009039900032803416,172,0.02144638403990025,24,148,400.25018310546875,36.95833206176758,45.50675582885742,8.548423767089844,-0.14805675966635023,0.14805675966635023,0.36036036036036034,0.6396396396396397,0.11604202211381026,0.8294625823108364,0.05112127161027025,False,False,,0.5189531715611563,264,2,1.0001246845569938,21.0,0.5097320127880559,0.018442317546200838,0.5,0.7875,0.02882263998762937,80.0,80.0,False,,0.8924731182795699,0.5189531715611563,0.7875,0.8924731182795699,0.02144638403990025,0.0,0.0,0.0,0.0,0.0,0.5725752135282509,core,1
308,labevents::50924::Ferritin::valuenum,Ferritin,labevents,50924,valuenum,lab_other,min,0.0012468828354030848,236,0.02942643391521197,35,201,53676192.0,3156.05712890625,2027.7867431640625,1128.2703857421875,0.054732144195475764,0.054732144195475764,0.648542999289268,0.648542999289268,0.23647333010295274,1.6902995609854554,0.08195112999643506,False,False,,0.48229740265147125,217,1,1.0001246820449743,25.0,0.47440562984647555,0.015783545609991425,0.5,0.7625,0.016298716304554938,80.0,80.0,False,,0.8709677419354839,0.48229740265147125,0.7625,0.8709677419354839,0.02942643391521197,0.0,0.0,0.0,0.0,0.0,0.5505754125740593,core,1
